x1,x2,x3,x4,d1,d2,d3,
0.8622,0.7101,0.6236,0.7894,0,0,1,
0.2741,0.1552,0.1333,0.1516,1,0,0,
0.6772,0.8516,0.6543,0.7573,0,0,1,
0.2178,0.5039,0.6415,0.5039,0,1,0,
0.726,0.75,0.7007,0.4953,0,0,1,
0.2473,0.2941,0.4248,0.3087,1,0,0,
0.5682,0.5683,0.5054,0.4426,0,1,0,
0.6566,0.6715,0.4952,0.3951,0,1,0,
0.0705,0.4717,0.2921,0.2954,1,0,0,
0.1187,0.2568,0.314,0.3037,1,0,0,
0.5673,0.7011,0.4083,0.5552,0,1,0,
0.3164,0.2251,0.3526,0.256,1,0,0,
0.7884,0.9568,0.6825,0.6398,0,0,1,
0.9633,0.785,0.6777,0.6059,0,0,1,
0.7739,0.8505,0.7934,0.6626,0,0,1,
0.4219,0.4136,0.1408,0.094,1,0,0,
0.6616,0.4365,0.6597,0.8129,0,0,1,
0.7325,0.4761,0.3888,0.5683,0,1,0,
